u1422	Фены	10.0
u1422	"Учебное пособие ""электроника для начинающих"""	10.0
u1422	"Форматы магазинов ""Чайникофф"""	10.0
u1422	Скрипты (ШОУРУМ)	10.0
u147	Запуск теста на Портале обучения	10.0
u147	Скрипты (ШОУРУМ)	10.0
u147	СКРИПТЫ: спец проект	10.0
u147	Новая панель руководителя	10.0
u147	УЧЕБНОЕ ПОСОБИЕ ДЛЯ УПРАВЛЯЮЩИХ «РАБОТА С ЭЛЕКТРОННЫМ ДОКУМЕНТООБОРОТОМ»	10.0
u147	Русско-английский разговорник продавца	10.0
u147	Согласование заявок	10.0
u147	Панель руководителя-Тесты	10.0
u147	Countries & nationalities	10.0
u147	Grammar_to be	10.0
u147	Назначение теста и курса	10.0
u269	Памятка «Взаимодействие магазин – мастерская»	10.0
u269	ПАМЯТКА «ИЗДЕЛИЯ ИМПОРТНОГО ПРОИЗВОДСТВА»	10.0
u269	Скрипты по презентации товара	10.0
u109	скрипты Tefal	10.0
u1811	СКРИПТЫ спец проект	10.0
u387	Запуск теста на Портале обучения	10.0
u387	Работа с вебинаром виртуального класса	10.0
u1652	Бизнес-тренинг для продавцов	10.0
u1652	Подарки	10.0
u210	Скрипты (ШОУРУМ)	10.0
u210	скрипты Tefal	10.0
u111	"Учебное пособие ""электроника для начинающих"""	10.0
u1345	Учебное пособие «Чайники»	10.0
u1345	Учебное пособие «Компания Чайникофф»	10.0
u1941	Учебное пособие Домашняя техника	10.0
u1941	Рисунок для маркетологов	10.0
u1941	Презентация продукта	10.0
u236	ПАМЯТКА «ИЗДЕЛИЯ ИМПОРТНОГО ПРОИЗВОДСТВА»	10.0
u236	Учебное пособие «Чайники»	10.0
u236	Кофемашины	10.0
u236	СТАТЬЯ: 25 правил продаж	10.0
u882	Что такое постановка целей по SMART	10.0
u957	Стиральные машины и наборы для стирки	10.0
u957	Тостеры	10.0
u957	Утюги и аксессуары для глажки	10.0
u957	Дизайнерские чайники	10.0
u634	Инструкция по выкладке товара	10.0
u634	Инструкция по раскладке товара	10.0
u762	Авансовые отчеты	10.0
u762	Вентиляторы	10.0
u762	скрипты Tefal	10.0
u762	СТАТЬЯ: 25 правил продаж	10.0
u1593	Тостеры	10.0
u1593	СКРИПТЫ спец проект	10.0
u1849	Учебное пособие «Схемотехника»	10.0
u178	Technical prowess chimes with collectors (part 1)	10.0
u933	Дизайнерские чайники	10.0
u933	СТАТЬЯ: Речь как индикатор личности.	10.0
u1717	Демонстрационная презентация продукта Чайникофф	10.0
u1120	Инструкция «Мерчендайзинг»	10.0
u56	Дизайнерские чайники	10.0
u56	Тостеры	10.0
u191	Запуск теста на Портале обучения	10.0
u1942	Учебное пособие Домашняя техника	10.0
u1942	1С УЧЕБНОЕ ПОСОБИЕ ДЛЯ ПРОДАВЦОВ-КАССИРОВ	10.0
u1814	Мотивация на 100%	10.0
u730	Ассортимент ноутбуков	10.0
u730	Вентиляторы	10.0
u730	Учебное пособие 1С Заявки на платеж	10.0
u730	Учебное пособие для Управляющих Корректировка товарного запаса	10.0
u730	Ученый курс для Управляющих «Сопровождение проверок»	10.0
u245	Ученый курс для Управляющих «Сопровождение проверок»	10.0
u1169	Инструкция «Мерчендайзинг»	10.0
u1169	Тостеры	10.0
u1169	Ассортимент	10.0
u1169	Фены	10.0
u1169	Смартфоны	10.0
u133	Часы в ассортименте магазина Чайникофф	10.0
u133	How are you	10.0
u133	Скрипты по презентации товара	10.0
u438	Учебное пособие Домашняя техника	10.0
u438	1С УЧЕБНОЕ ПОСОБИЕ ДЛЯ ПРОДАВЦОВ-КАССИРОВ	10.0
u438	СТАТЬЯ: 25 правил продаж	10.0
u727	Памятка «Взаимодействие магазин – мастерская»	10.0
u1522	1С УЧЕБНОЕ ПОСОБИЕ ДЛЯ ПРОДАВЦОВ-КАССИРОВ	10.0
u1522	Учебное пособие Домашняя техника	10.0
u2087	Ученый курс для Управляющих «Сопровождение проверок»	10.0
u815	Учебное пособие Клиентские сервисы Tefal	10.0
u815	СТАТЬЯ: 25 правил продаж	10.0
u815	Учебное пособие Домашняя техника	10.0
u815	скрипты Tefal	10.0
u820	1С УЧЕБНОЕ ПОСОБИЕ ДЛЯ ПРОДАВЦОВ-КАССИРОВ	10.0
u820	Учебное пособие Домашняя техника	10.0
u820	1С УЧЕБНОЕ ПОСОБИЕ ДЛЯ ПРОДАВЦОВ-КАССИРОВ	10.0
u1972	УЧЕБНОЕ ПОСОБИЕ ДЛЯ УПРАВЛЯЮЩИХ «РАБОТА С ЭЛЕКТРОННЫМ ДОКУМЕНТООБОРОТОМ»	10.0
u1359	Учебное пособие «Компания Чайникофф»	10.0
u699	Стиральные машины и наборы для стирки	10.0
u1365	ИНСТРУКЦИЯ ДЛЯ УПРАВЛЯЮЩИХ «РАБОТА В ПРОГРАММЕ 1С ДОКУМЕНТООБОРОТ»	10.0
u1365	Учебное пособие «Обеспечение безопасности магазина»	10.0
u1365	Подать заявку	10.0
u1365	УЧЕБНОЕ ПОСОБИЕ ДЛЯ УПРАВЛЯЮЩИХ «РАБОТА С ЭЛЕКТРОННЫМ ДОКУМЕНТООБОРОТОМ»	10.0
u1365	Учебное пособие для Управляющих Корректировка товарного запаса	10.0
u1065	article 10	10.0
u1065	article 11	10.0
u1065	article 8	10.0
u525	Соковыжималки	10.0
u525	Инструкция «Мерчендайзинг»	10.0
u306	Скрипты (ШОУРУМ)	10.0
u306	Технология  демонстрации оборудования	10.0
u306	СТАТЬЯ: 25 правил продаж	10.0
u306	Заполнение результатов аттестации сотрудников	10.0
u350	Запуск теста на Портале обучения	10.0
u1676	Учебное пособие «Компания Чайникофф»	10.0
u549	Прохождение оценочной процедуры на портале Oбучения	10.0
